ME_Lab_#,Sample_ID,Site,European Worms,Lumbricus rubellus?,Lumbricus terrestris?,Aporrectodea caliginosa?,Contamination,Plot,soil_pH,buffer_pH,OM (%),NO3-N (mg/kg),NH4-N (mg/kg),P (lb/A),K (lb/A),Mg (lb/A,Ca (lb/A,Al (mg/kg),B (mg/kg),Cu (mg/kg),Fe (mg/kg),Mn (mg/kg),Na (mg/kg),S (mg/kg),Zn (mg/kg),ECEC (me/100g),K (%),Mg (%),Ca (%),Acidity (%)
8808,LITTLE MO 3,Little Moose,Y,N,Y,N,Y,3,5.3,5.45,13,1.06,29,4.1,239,255,1896,382,0.2,0.24,50,39,18,14,1.7,8.2,3.8,12.9,58,25.4
8809,LITTLE MO 4,Little Moose,N,N,N,N,N,4,5.2,5.4,16.8,0.2,8.7,4.6,365,327,3192,264,0.3,0.29,57,40,32,16,2.2,12.1,3.9,11.2,66,18.9
8810,MAHOOSUC 1,Mahoosuc,NA,NA,NA,NA,NA,1,4.1,4.75,16.2,19,18.9,6.5,276,130,683,311,0.4,0.49,256,25,15,30,3.3,7.4,4.7,7.1,22.9,65.3
8811,MAHOOSUC 2,Mahoosuc,N,N,N,N,N,2,4.9,5.15,26.1,18.5,78.4,10.1,268,134,983,1141,0.3,0.56,110,36,22,47,3.6,6.5,5.2,8.5,37.7,48.6
8812,MAHOOSUC 3,Mahoosuc,NA,NA,NA,NA,NA,3,4.3,4.6,32.4,0.63,63.5,14.8,500,200,1025,146,0.4,0.25,33,31,205,25,18,9.1,7.1,9.1,28.3,55.6
8813,MAHOOSUC 4,Mahoosuc,NA,NA,NA,NA,NA,4,3.7,4.02,65,0.33,156,58.4,720,640,2520,50,0.5,0.4,13,21,44,42,6.4,16.8,5.5,15.6,37.3,41.6
8814,SEBAGO 1,Sebago Lake,Y,N,Y,N,Y,1,5.3,5.49,9,1.29,24.8,5.4,362,317,1253,332,0.3,0.23,148,23,29,14,2.3,6.9,6.7,19,45.5,28.8
8815,SEBAGO 2,Sebago Lake,Y,N,Y,Y,Y,2,5.9,6.03,7.1,0.65,12.7,5.8,345,245,2892,140,0.2,0.58,26,11,18,10,2.6,8.7,5.1,11.7,83.3,0
8816,SEBAGO 3,Sebago Lake,NA,NA,NA,NA,NA,3,4.5,5.07,11.4,< 0.10,19.7,8.5,204,102,234,380,0.3,0.22,89,9.1,34,19,2.4,5,5.2,8.5,11.7,74.6
8817,SCOPAN 1,Scopan Lake,NA,NA,NA,NA,NA,1,3.9,4.61,14.6,< 0.10,16.9,14.2,316,158,439,522,0.4,0.35,185,32,32,21,3,7.5,5.3,8.7,14.5,71.5
